dropped_attributes,k,f1
"('restecg_2.0', 'oldpeak')",5,0.7956204379562045
"('restecg_2.0', 'oldpeak')",7,0.7838827838827838
"('restecg_2.0', 'oldpeak')",9,0.7703703703703705
"('restecg_2.0', 'slope')",3,0.7720588235294118
"('restecg_2.0', 'slope')",5,0.7938931297709925
"('restecg_2.0', 'slope')",7,0.7954545454545454
"('restecg_2.0', 'slope')",9,0.7937743190661479
"('thalach', 'exang')",3,0.7813620071684588
"('thalach', 'exang')",5,0.7720588235294118
"('thalach', 'exang')",7,0.7709923664122138
"('thalach', 'exang')",9,0.7651515151515151
"('thalach', 'oldpeak')",3,0.7944250871080138
"('thalach', 'oldpeak')",5,0.7956204379562045
"('thalach', 'oldpeak')",7,0.8088235294117648
"('thalach', 'oldpeak')",9,0.7896678966789666
"('thalach', 'slope')",3,0.7686567164179104
"('thalach', 'slope')",5,0.7739463601532568
"('thalach', 'slope')",7,0.7878787878787878
"('thalach', 'slope')",9,0.7876447876447877
"('exang', 'oldpeak')",3,0.7526881720430109
"('exang', 'oldpeak')",5,0.7737226277372262
"('exang', 'oldpeak')",7,0.7806691449814126
"('exang', 'oldpeak')",9,0.7794117647058825
"('exang', 'slope')",3,0.7761194029850746
"('exang', 'slope')",5,0.7878787878787878
"('exang', 'slope')",7,0.7876447876447877
"('exang', 'slope')",9,0.7722007722007722
